BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.329665,3.095782,10,16,8,11,12,15
1.914973,3.107386,10,16,8,12,13,18
2.205229,3.098805,10,16,8,13,14,21
3.745004,3.097747,10,16,8,14,15,24
4.332422,-0.032112,10,1,9,2,3,27
5.662831,-0.040569,10,1,9,3,4,30
2.331207,-0.045877,10,1,9,4,5,33
1.706359,-0.050655,10,1,9,5,6,36
2.961925,-0.015091,10,1,9,6,7,38
2.868568,-0.084906,10,1,9,7,8,42
3.914954,3.106018,10,1,9,10,11,45
2.70712,3.103722,10,1,9,11,12,48
1.916113,3.107327,10,1,9,12,13,51
1.833408,3.110265,10,1,9,13,14,54
2.330898,3.095729,10,1,9,14,15,57
5.713633,3.122243,10,1,9,15,16,60
8.954802,-0.039085,10,2,10,3,4,63
3.164461,-0.046841,10,2,10,4,5,66
1.872703,-0.054995,10,2,10,5,6,68
2.58601,-0.018873,10,2,10,6,7,72
1.206396,-0.133747,10,2,10,7,8,75
3.581476,-0.04127,10,2,10,8,9,78
4.289754,3.100428,10,2,10,11,12,81
2.331531,3.095769,10,2,10,12,13,84
1.875034,3.108883,10,2,10,13,14,87
1.997312,3.083825,10,2,10,14,15,90
4.298527,3.129406,10,2,10,15,16,93
4.834459,3.111098,10,2,10,16,1,96
5.792018,3.092533,10,3,11,1,2,98
6.919254,-0.042138,10,3,11,4,5,102
3.086865,-0.031852,10,3,11,5,6,105
2.96532,-0.015004,10,3,11,6,7,108
1.041381,-0.139369,10,3,11,7,8,111
2.419648,-0.030527,10,3,11,8,9,114
4.462214,-0.033977,10,3,11,9,10,117
3.751306,3.097847,10,3,11,12,13,119
2.16787,3.099834,10,3,11,13,14,123
1.916293,3.08566,10,3,11,14,15,126
3.801956,3.129896,10,3,11,15,16,129
3.421673,3.115256,10,3,11,16,1,131
2.163257,3.0711,10,4,12,1,2,135
7.789434,3.100918,10,4,12,2,3,138
6.123354,-0.038203,10,4,12,5,6,141
4.12698,-0.028841,10,4,12,6,7,143
1.538672,-0.099404,10,4,12,7,8,147
2.414885,-0.047679,10,4,12,8,9,150
3.211819,-0.021606,10,4,12,9,10,153
3.95589,-0.046715,10,4,12,10,11,155
3.372114,3.091578,10,4,12,13,14,159
1.914884,3.085666,10,4,12,14,15,162
3.132475,3.135219,10,4,12,15,16,165
2.085799,3.122059,10,4,12,16,1,167
1.246751,3.042288,10,5,13,1,2,171
4.163007,3.102156,10,5,13,2,3,174
7.994774,3.104707,10,5,13,3,4,177
5.291813,-0.028636,10,5,13,6,7,179
1.828689,-0.099311,10,5,13,7,8,183
2.374966,-0.029257,10,5,13,8,9,186
2.875236,-0.026974,10,5,13,9,10,189
