BIOZ1_TOMO,EXC_FREQ_KHZ,GND_OUTPUT,EXC_OUTPUT,SENSE_OUTPUT,PACKET_NUMBER
93.05839688602744,10,6,8,8,154
53.98074299510995,10,6,8,9,158
51.55045145019461,10,6,8,10,162
50.041861503146364,10,6,8,11,166
49.834504134232624,10,6,8,12,170
49.35810837585131,10,6,8,13,174
49.09050954342858,10,6,8,14,178
48.203163775927,10,6,8,15,182
47.940985983061026,10,6,8,16,186
48.41050989794337,10,6,9,1,194
48.474764501652,10,6,9,2,198
48.17707703822389,10,6,9,3,202
46.76916655065124,10,6,9,4,206
36.750647726082434,10,6,9,5,210
43.882126168591135,10,6,9,7,214
54.56555262233852,10,6,9,8,218
96.23781575139954,10,6,9,9,222
58.788145564755034,10,6,9,10,226
55.4281800530083,10,6,9,11,230
54.3191631212307,10,6,9,12,234
53.5211212034966,10,6,9,13,238
52.93112244187052,10,6,9,14,242
52.15989603790552,10,6,9,15,246
51.56724772462771,10,6,9,16,250
50.57689496539552,10,6,10,1,2
50.49794119494309,10,6,10,2,6
50.11076660467905,10,6,10,3,10
48.57720806506395,10,6,10,4,14
37.108715061284464,10,6,10,5,18
43.21929571757129,10,6,10,7,22
51.6440188857884,10,6,10,8,26
58.48069238863436,10,6,10,9,30
101.00650316920098,10,6,10,10,34
62.42898625162411,10,6,10,11,38
58.99742984950868,10,6,10,12,42
57.42299462926189,10,6,10,13,46
56.448403314666926,10,6,10,14,50
55.45259280590379,10,6,10,15,54
54.68714480912928,10,6,10,16,58
52.48688840517905,10,6,11,1,66
52.2221355345955,10,6,11,2,70
51.74935245782987,10,6,11,3,74
50.12976079188785,10,6,11,4,78
37.428427831217675,10,6,11,5,82
43.012278540893284,10,6,11,7,86
50.69878460451515,10,6,11,8,90
55.48750406852791,10,6,11,9,94
62.76812160031633,10,6,11,10,98
104.55748639018495,10,6,11,11,102
64.96989572620448,10,6,11,12,106
61.39187069896875,10,6,11,13,110
59.72394872087174,10,6,11,14,114
58.43967708993026,10,6,11,15,118
57.327418566512044,10,6,11,16,122
54.1916306545053,10,6,12,1,130
53.83046792880225,10,6,12,2,134
53.2346772966034,10,6,12,3,138
51.52544137165128,10,6,12,4,142
37.60497250498194,10,6,12,5,146
42.804530933520155,10,6,12,7,150
50.07198546900979,10,6,12,8,154
53.97005164769049,10,6,12,9,158
59.07067892595322,10,6,12,10,162
64.81605463801411,10,6,12,11,166
105.771307544186,10,6,12,12,170
67.1464249078587,10,6,12,13,174
63.36008136040979,10,6,12,14,178
61.41358013112381,10,6,12,15,182
59.99672080475301,10,6,12,16,186
55.770384784674576,10,6,13,1,194
55.20472317713715,10,6,13,2,198
54.599444039642094,10,6,13,3,202
52.714418563570995,10,6,13,4,206
37.66904611169986,10,6,13,5,210
42.51131253774955,10,6,13,7,214
49.51572031176302,10,6,13,8,218
53.01738230127645,10,6,13,9,222
57.38865061656385,10,6,13,10,226
61.04559314993588,10,6,13,11,230
67.06789097428026,10,6,13,12,234
107.64738414717024,10,6,13,13,238
68.81478182719142,10,6,13,14,242
64.92137366548293,10,6,13,15,246
62.88175850764697,10,6,13,16,250
57.569452803053146,10,6,14,1,2
56.778429426799555,10,6,14,2,6
56.090276340925186,10,6,14,3,10
54.03291850388776,10,6,14,4,14
37.66025699194673,10,6,14,5,18
42.25268612676958,10,6,14,7,22
49.08298083379776,10,6,14,8,26
52.27007343064786,10,6,14,9,30
56.35372473463813,10,6,14,10,34
59.266743233519875,10,6,14,11,38
63.182686669447136,10,6,14,12,42
68.77308716394087,10,6,14,13,46
108.98824933682751,10,6,14,14,50
70.6982786340531,10,6,14,15,54
66.77723055070878,10,6,14,16,58
59.8811052766955,10,6,15,1,66
58.6739562253089,10,6,15,2,70
57.850333246393,10,6,15,3,74
55.7610710275129,10,6,15,4,78
37.76373901240581,10,6,15,5,82
42.131889828107404,10,6,15,7,86
48.83475609997162,10,6,15,8,90
51.957343118792764,10,6,15,9,94
55.66458494911095,10,6,15,10,98
58.236682756539565,10,6,15,11,102
61.48134759552689,10,6,15,12,106
65.09474059119654,10,6,15,13,110
70.90333363697808,10,6,15,14,114
111.50687067369053,10,6,15,15,118
73.34038724909401,10,6,15,16,122
63.7387638356363,10,6,16,1,130
61.3662199879564,10,6,16,2,134
60.24109454272256,10,6,16,3,138
58.053235334436295,10,6,16,4,142
37.95097302785522,10,6,16,5,146
42.06014928540176,10,6,16,7,150
48.57642055421868,10,6,16,8,154
51.52839036231106,10,6,16,9,158
55.21387526112712,10,6,16,10,162
57.41650737908532,10,6,16,11,166
60.51869116319536,10,6,16,12,170
63.469850412877506,10,6,16,13,174
67.47364268467213,10,6,16,14,178
73.80154097317585,10,6,16,15,182
115.54769178401735,10,6,16,16,186
40.386090382012156,10,7,8,1,194
40.266665881143844,10,7,8,2,198
40.22450307589606,10,7,8,3,202
39.96218347868347,10,7,8,4,206
37.900758416568706,10,7,8,5,210
35.4423123333281,10,7,8,6,214
81.8785519769338,10,7,8,8,218
45.66796975915545,10,7,8,9,222
43.23434413242711,10,7,8,10,226
42.64345170389302,10,7,8,11,230
42.15193174910435,10,7,8,12,234
41.95390184112297,10,7,8,13,238
41.67641895959064,10,7,8,14,242
41.713339200368765,10,7,8,15,246
41.50398735286633,10,7,8,16,250
45.14532034085074,10,7,9,1,2
44.94776726284144,10,7,9,2,6
44.82801672054591,10,7,9,3,10
44.354220899465936,10,7,9,4,14
40.531582239091364,10,7,9,5,18
37.59715852010486,10,7,9,6,22
45.64410348116245,10,7,9,8,26
89.48273259536198,10,7,9,9,30
52.615896533952785,10,7,9,10,34
49.97116152343697,10,7,9,11,38
48.741677246486255,10,7,9,12,42
48.183101413124305,10,7,9,13,46
47.65519042263248,10,7,9,14,50
47.4986009643067,10,7,9,15,54
47.14088383380373,10,7,9,16,58
48.01708433976712,10,7,10,1,66
47.726137699943706,10,7,10,2,70
47.51529218925078,10,7,10,3,74
46.958856585722664,10,7,10,4,78
41.615487576451876,10,7,10,5,82
38.360984149759815,10,7,10,6,86
43.3741282223886,10,7,10,8,90
52.74082078525909,10,7,10,9,94
95.60072487436277,10,7,10,10,98
57.583371712147695,10,7,10,11,102
54.05064003996933,10,7,10,12,106
52.7537746436176,10,7,10,13,110
51.8408248635352,10,7,10,14,114
51.36357622236852,10,7,10,15,118
50.83537470406831,10,7,10,16,122
50.038954374412704,10,7,11,1,130
49.615669477324815,10,7,11,2,134
49.41290746783905,10,7,11,3,138
48.67580102358699,10,7,11,4,142
42.148973468204076,10,7,11,5,146
38.68152814826546,10,7,11,6,150
42.60121344550324,10,7,11,8,154
49.97031712560427,10,7,11,9,158
57.4753904394485,10,7,11,10,162
99.73519448023866,10,7,11,11,166
60.255631633879695,10,7,11,12,170
56.9181283096475,10,7,11,13,174
55.30426950503743,10,7,11,14,178
54.43068422789329,10,7,11,15,182
53.73270370241233,10,7,11,16,186
51.88622233677408,10,7,12,1,194
51.33056838835636,10,7,12,2,198
51.0391814156186,10,7,12,3,202
50.21751433673094,10,7,12,4,206
42.43530061485906,10,7,12,5,210
38.86173944195996,10,7,12,6,214
42.13094807775664,10,7,12,8,218
48.76288335260619,10,7,12,9,222
53.99238222967714,10,7,12,10,226
60.281176692432254,10,7,12,11,230
101.25860594073073,10,7,12,12,234
62.898600619176875,10,7,12,13,238
59.23237659141778,10,7,12,14,242
57.673615805914,10,7,12,15,246
56.662790712800295,10,7,12,16,250
53.64836750038962,10,7,13,1,2
52.919518365734454,10,7,13,2,6
52.57609771861405,10,7,13,3,10
51.66239582841465,10,7,13,4,14
42.659461898861814,10,7,13,5,18
38.96450117989398,10,7,13,6,22
41.83535873280194,10,7,13,8,26
48.084541686975484,10,7,13,9,30
52.52405976716068,10,7,13,10,34
56.81082207965707,10,7,13,11,38
62.82640614721857,10,7,13,12,42
103.6517809497843,10,7,13,13,46
64.97285196686494,10,7,13,14,50
61.396812472137434,10,7,13,15,54
59.82093788647255,10,7,13,16,58
55.71258263363804,10,7,14,1,66
54.75600165103144,10,7,14,2,70
54.2921825194867,10,7,14,3,74
53.28913455359498,10,7,14,4,78
42.96946664965017,10,7,14,5,82
39.143017038822535,10,7,14,6,86
41.67133241584489,10,7,14,8,90
47.70054477122529,10,7,14,9,94
51.75359423778637,10,7,14,10,98
55.34034226944955,10,7,14,11,102
59.207529675009184,10,7,14,12,106
65.03504744630943,10,7,14,13,110
105.42011097395687,10,7,14,14,114
67.43712481730347,10,7,14,15,118
63.975772919206655,10,7,14,16,122
58.21763599251798,10,7,15,1,130
56.916190550976324,10,7,15,2,134
56.31138166698807,10,7,15,3,138
55.18507535159288,10,7,15,4,142
43.32839829109138,10,7,15,5,146
39.34189090411058,10,7,15,6,150
41.64727590898958,10,7,15,8,154
47.46106897805448,10,7,15,9,158
51.290863410389505,10,7,15,10,162
54.536587529346555,10,7,15,11,166
57.66766033858624,10,7,15,12,170
61.51050370246849,10,7,15,13,174
67.49565967203579,10,7,15,14,178
108.32628781066319,10,7,15,15,182
70.67627519692233,10,7,15,16,186
62.12995012304477,10,7,16,1,194
59.73163659619127,10,7,16,2,198
58.88266821053524,10,7,16,3,202
57.619542170867334,10,7,16,4,206
43.655074653342155,10,7,16,5,210
39.48025606190278,10,7,16,6,214
41.58664540098992,10,7,16,8,218
47.25981925904946,10,7,16,9,222
50.927149883712694,10,7,16,10,226
53.940437607666105,10,7,16,11,230
56.830089539306826,10,7,16,12,234
60.05966032786166,10,7,16,13,238
64.12143223736201,10,7,16,14,242
70.80001842745403,10,7,16,15,246
113.46285702474029,10,7,16,16,250
39.70881009246584,10,8,9,1,2
40.12103900803498,10,8,9,2,6
40.13457700195496,10,8,9,3,10
39.39356442474852,10,8,9,4,14
37.62452545003617,10,8,9,5,18
37.77119931410258,10,8,9,6,22
35.04763309723159,10,8,9,7,26
79.37525405424965,10,8,9,9,30
44.96274379864666,10,8,9,10,34
42.256432895231626,10,8,9,11,38
42.19013061387216,10,8,9,12,42
41.75443839058037,10,8,9,13,46
41.583576943294865,10,8,9,14,50
40.711605537120036,10,8,9,15,54
40.61913349492839,10,8,9,16,58
44.811294202147884,10,8,10,1,66
45.14570744562718,10,8,10,2,70
45.066514109185434,10,8,10,3,74
44.153215430123936,10,8,10,4,78
40.8887019864863,10,8,10,5,82
40.69075424684994,10,8,10,6,86
37.30659008151865,10,8,10,7,90
44.217089043632484,10,8,10,9,94
90.15262617535805,10,8,10,10,98
52.4528070747898,10,8,10,11,102
49.731660436198176,10,8,10,12,106
48.555956084089416,10,8,10,13,110
47.944756021269306,10,8,10,14,114
47.084730421084316,10,8,10,15,118
46.63615589466151,10,8,10,16,122
47.5114246078713,10,8,11,1,130
47.77596409790777,10,8,11,2,134
47.61651953188242,10,8,11,3,138
46.57225873784453,10,8,11,4,142
42.14133207854612,10,8,11,5,146
41.71895032422144,10,8,11,6,150
37.9885129712495,10,8,11,7,154
42.194107199012635,10,8,11,9,158
52.70993992477168,10,8,11,10,162
95.62535000857838,10,8,11,11,166
56.63887301172566,10,8,11,12,170
53.463825802294814,10,8,11,13,174
52.11451969324785,10,8,11,14,178
51.05636374390734,10,8,11,15,182
50.24069298190156,10,8,11,16,186
49.78691067592487,10,8,12,1,194
49.93333229319253,10,8,12,2,198
49.721659434520966,10,8,12,3,202
48.59615286552946,10,8,12,4,206
42.93071425315638,10,8,12,5,210
42.37924079644857,10,8,12,6,214
38.436206588443895,10,8,12,7,218
41.46557321093984,10,8,12,9,222
49.72081907570357,10,8,12,10,226
56.51019970733117,10,8,12,11,230
98.13199974908031,10,8,12,12,234
60.016746057312275,10,8,12,13,238
