BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
2.464588,-0.377934,100,16,8,3,4,39
2.137795,-0.385457,100,16,8,4,5,43
2.64901,-0.3845,100,16,8,5,6,47
3.957165,-0.366506,100,16,8,6,7,51
3.941843,2.610941,100,16,8,9,10,55
2.05588,2.805125,100,16,8,10,11,59
1.898704,2.693982,100,16,8,11,12,63
2.087949,2.603029,100,16,8,12,13,67
3.338566,2.724996,100,16,8,13,14,71
6.541244,2.733241,100,16,8,14,15,75
4.318564,-0.397135,100,1,9,2,3,79
2.792266,-0.372362,100,1,9,3,4,83
2.138152,-0.385292,100,1,9,4,5,87
2.280816,-0.370342,100,1,9,5,6,91
2.649538,-0.384436,100,1,9,6,7,95
4.220276,-0.417141,100,1,9,7,8,99
3.295926,2.739868,100,1,9,10,11,103
2.130114,2.669562,100,1,9,11,12,107
1.811301,2.59279,100,1,9,12,13,111
2.409735,2.708005,100,1,9,13,14,115
4.079207,2.714985,100,1,9,14,15,119
4.972486,2.753377,100,1,9,15,16,123
4.275877,-0.385325,100,2,10,3,4,127
2.423448,-0.357219,100,2,10,4,5,131
2.280589,-0.370374,100,2,10,5,6,135
2.239578,-0.34774,100,2,10,6,7,139
2.691907,-0.403207,100,2,10,7,8,143
3.906595,-0.377144,100,2,10,8,9,147
3.612642,2.695265,100,2,10,11,12,151
2.088224,2.602961,100,2,10,12,13,155
2.129689,2.669497,100,2,10,13,14,159
3.242477,2.698093,100,2,10,14,15,163
3.446327,2.77722,100,2,10,15,16,167
3.622358,2.746202,100,3,11,1,2,171
3.893918,-0.42458,100,3,11,4,5,175
2.7918,-0.372526,100,3,11,5,6,179
2.291842,-0.330166,100,3,11,6,7,183
2.365494,-0.413307,100,3,11,7,8,187
2.567164,-0.345471,100,3,11,8,9,191
4.213755,-0.483052,100,3,11,9,10,195
3.523838,2.616947,100,3,11,12,13,199
2.31511,2.66953,100,3,11,13,14,203
3.195187,2.684021,100,3,11,14,15,207
3.119133,2.77363,100,3,11,15,16,211
2.08774,2.736133,100,4,12,1,2,215
3.394888,2.765063,100,4,12,2,3,219
4.45953,-0.388986,100,4,12,5,6,223
2.741076,-0.387584,100,4,12,6,7,227
2.365023,-0.413372,100,4,12,7,8,231
2.199769,-0.324278,100,4,12,8,9,235
2.731678,-0.45518,100,4,12,9,10,239
3.864715,-0.364016,100,4,12,10,11,243
3.65732,2.682222,100,4,12,13,14,247
3.518266,2.669465,100,4,12,14,15,251
3.302737,2.767739,100,4,12,15,16,255
