BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER,FREQUENCY KHZ
1.739218,3.101385,4,8,16,6,7,105,4
1.8485,0.001291,4,8,16,9,10,108,4
0.980197,0.037657,4,8,16,10,11,111,4
1.030213,0.006803,4,8,16,11,12,114,4
1.030262,0.006885,4,8,16,12,13,117,4
1.161609,-0.001261,4,8,16,13,14,120,4
1.848442,0.001145,4,8,16,14,15,123,4
1.738593,3.101981,4,9,1,2,3,126,4
1.013814,3.058911,4,9,1,3,4,129,4
0.697897,3.090698,4,9,1,4,5,132,4
0.737687,3.108339,4,9,1,5,6,135,4
1.132581,3.09468,4,9,1,6,7,138,4
1.778539,3.108643,4,9,1,7,8,141,4
1.8987,-0.014407,4,9,1,10,11,144,4
1.161201,-0.001765,4,9,1,11,12,147,4
1.029895,0.006931,4,9,1,12,13,150,4
0.939312,0.028934,4,9,1,13,14,153,4
1.029932,0.006527,4,9,1,14,15,156,4
1.898703,-0.014682,4,9,1,15,16,159,4
1.778624,3.108724,4,10,2,3,4,162,4
0.869296,3.101981,4,10,2,4,5,165,4
0.737749,3.108016,4,10,2,5,6,168,4
0.829549,3.08709,4,10,2,6,7,171,4
1.132581,3.09468,4,10,2,7,8,174,4
1.687094,3.118544,4,10,2,8,9,177,4
1.898885,-0.01452,4,10,2,11,12,180,4
1.282605,0.022565,4,10,2,12,13,183,4
0.939283,0.028788,4,10,2,13,14,186,4
0.898795,0.017715,4,10,2,14,15,189,4
1.201662,0.006818,4,10,2,15,16,192,4
1.767406,-0.010048,4,10,2,16,1,195,4
1.807682,-0.004144,4,11,3,1,2,198,4
1.647034,3.111747,4,11,3,4,5,201,4
0.949419,3.128236,4,11,3,5,6,204,4
0.829588,3.087446,4,11,3,6,7,207,4
0.961284,3.085353,4,11,3,7,8,210,4
1.092957,3.084188,4,11,3,8,9,213,4
1.778676,3.109144,4,11,3,9,10,216,4
1.767432,-0.009838,4,11,3,12,13,219,4
1.161343,-0.000908,4,11,3,13,14,222,4
0.989672,-0.00345,4,11,3,14,15,225,4
1.029979,0.006883,4,11,3,15,16,228,4
1.151456,0.033515,4,11,3,16,1,231,4
1.161218,-0.001555,4,12,4,1,2,234,4
1.807535,-0.004096,4,12,4,2,3,237,4
1.858614,3.122261,4,12,4,5,6,240,4
1.040811,3.109579,4,12,4,6,7,243,4
0.961144,3.085385,4,12,4,7,8,246,4
0.961204,3.085676,4,12,4,8,9,249,4
1.053207,3.071962,4,12,4,9,10,252,4
1.738647,3.102126,4,12,4,10,11,255,4
1.938948,-0.008063,4,12,4,13,14,2,4
1.161183,-0.001975,4,12,4,14,15,5,4
1.029913,0.006866,4,12,4,15,16,8,4
0.989526,-0.003144,4,12,4,16,1,11,4
0.989493,-0.003015,4,13,5,1,2,14,4
1.151456,0.033515,4,13,5,2,3,17,4
2.019327,0.002124,4,13,5,3,4,20,4
1.830259,3.09325,4,13,5,6,7,23,4
1.092659,3.083911,4,13,5,7,8,26,4
